path	transcript	t1	t2
ordS01-06-SBS	по телефону можно / ага # по телефону да да / по 301 знаете есть он у вас / нет ?	461.832	465.412
ordS01-06-SBS	давайте / или у вас визитка есть?	469.54200000000003	472.064
ordS01-06-SBS	мне наверное ... Танечка ! будь ласка / это самое / спроси у анечки письмо(?) по(?) эволюции(?) //	477.8	484.778
ordS01-06-SBS	а выхода(?) есть / е...есть //	484.778	486.831
ordS01-06-SBS	но этот также на один день да / то есть ?	504.407	506.422
ordS01-06-SBS	да / приходите и уходите довольно ничего страшного / ничего страшного абсолютно @ (?)	506.43	510.53
ordS01-06-SBS	то есть / плохо что ли будет?	517.852	519.047
ordS01-06-SBS	у меня в принципе  / как бы не очень сложная работа в общей сложности (?) //	523.288	526.699
ordS01-06-SBS	ну просто какото(?) хирургическая манипуляция / знаете //	532.652	535.36
ordS01-06-SBS	ну () на четыре тысячи да  рассчитывать ? а подорожаний у вас никаких не намечается?	547.008	551.24
ordS01-06-SBS	давайте ждем / потому что свищ у вас даст(?) / ещё хорошо //	563.16	565.984
ordS01-06-SBS	каспуси(?) //	572.026	572.574
ordS01-06	так // снимки свежие есть ? это свежие ? @ *Н	27.860	29.718
ordS01-06	свежие ?	29.718	30.333
ordS01-06	(?)никаких / надо делать резекцию @ либо курс	48.399	51.393
ordS01-06	 а что это такое?	56.208	57.500
ordS01-06	это у шестого / да?	61.291	62.787
ordS01-06	а с пятым все нормально?	69.80799999999999	71.092
ordS01-06	нет все нормально тут все  одной веткой нари(?) # вот у меня шейный снимок пятого //	73.774	77.605
ordS01-06	чувствуется @ я (?) простужаюсь / или  как-то там @ значит люба вам надо делать резекцию шестого зуба // это что?	97.13	102.015
ordS01-06	это что такое? это вырезать это нужно?	102.015	103.694
ordS01-06	а это поможет? или оно (?) # это последнее / нет это все / это последнее как бы тут уже //	108.614	113.625
ordS01-06	обычно как? обычно методика лечения гранулем она сводится к пломбировке каналов //	113.625	119.703
ordS01-06	если пломбировка не помогает? обычно в принципе хватает пломбировки / иногда пломбировки не помогают / тогда делают резекцию //	119.703	126.564
ordS01-06	Старались ну люба(?) тут уже ...(?) сделал ...(?) я как бы / от а и  б и в //	137.446	141.819
