path	transcript	t1	t2	quest_num
ord113-19	так / ты куда полезла там / а ? //	517.555	519.94	questions_wav/ord113-19_question_22.wav
ord113-19	вот этот потом покушаем ? //	530.22	532.475	questions_wav/ord113-19_question_23.wav
ord113-19	вот это что такое ? //	532.725	534.37	questions_wav/ord113-19_question_24.wav
ord113-19	еще супчик ? // # да //	535.145	536.975	questions_wav/ord113-19_question_25.wav
ord113-19	что у тебя ? //	559.67	560.645	questions_wav/ord113-19_question_26.wav
ord113-19	нету сопелек ? // # да //	563.44	565.08	questions_wav/ord113-19_question_27.wav
ord113-19	так / ну что / сметанку достать / да ? // # да //	567.78	571.335	questions_wav/ord113-19_question_28.wav
ord113-19	сметанку / а еще что ? //	571.79	574.16	questions_wav/ord113-19_question_29.wav
ord113-19	ты не знаешь ? //	579.61	581.095	questions_wav/ord113-19_question_30.wav
ord113-19	сметанку и хлебушек / да ? //	595.375	597.545	questions_wav/ord113-19_question_31.wav
ord113-19	ты что нам на стол поставила ? //	606.775	609.73	questions_wav/ord113-19_question_32.wav
ord113-19	а ты не будешь кушать ? //	612.38	614.26	questions_wav/ord113-19_question_33.wav
ord113-19	мама / ладно я вперед сяду ? //	665.565	668.08	questions_wav/ord113-19_question_34.wav
ord113-19	а ты со мной сядешь ? //	674.955	676.605	questions_wav/ord113-19_question_35.wav
ord113-19	удобные ? //	723.49	724.405	questions_wav/ord113-19_question_36.wav
ord113-19	сползают ? *С //	727.965	729.96	questions_wav/ord113-19_question_37.wav
ord113-19	все удобные / просто ты вот здесь видишь () что ? //	729.96	733.165	questions_wav/ord113-19_question_38.wav
ord113-19	красота / где ты хвостик потеряла / *П а ? //	746.935	750.21	questions_wav/ord113-19_question_39.wav
ord113-19	в машине / резиночку ? //	752.34	754.045	questions_wav/ord113-19_question_40.wav
ord113-19	а почему ты маме не сказала ? //	757.305	759.25	questions_wav/ord113-19_question_41.wav
ord113-19	ты потом об этом вспомнила ? //	762.32	764.16	questions_wav/ord113-19_question_42.wav
ord113-19	когда потом ? //	774.05	775.07	questions_wav/ord113-19_question_43.wav
ord113-19	ты ложечку себе достала ? //	787.475	789.005	questions_wav/ord113-19_question_44.wav
ord113-19	ты меня слышишь ? //	801.375	802.585	questions_wav/ord113-19_question_45.wav
ord113-19	что ага ? //	804.405	805.28	questions_wav/ord113-19_question_46.wav
ord113-19	у нас другой нету ? //	822.335	824.275	questions_wav/ord113-19_question_47.wav
ord113-19	какое / полотенце  другое ? //	829.765	831.685	questions_wav/ord113-19_question_48.wav
ord113-19	а Тата% сегодня будет / *П в садике ? //	847.23	850.845	questions_wav/ord113-19_question_49.wav
ord113-19	в садике есть Тата% ? //	851.665	853.41	questions_wav/ord113-19_question_50.wav
ord113-19	а что *Н глазки ? //	862.555	865.765	questions_wav/ord113-19_question_51.wav
ord113-19	Анджелика% / а кто еще  с татой% сегодня был ? / *П как их зовут ? //	870.825	874.44	questions_wav/ord113-19_question_52.wav
ord113-19	воспитателя ? //	877.125	878.39	questions_wav/ord113-19_question_53.wav
ord113-19	Петровна% ? //	882.335	883.35	questions_wav/ord113-19_question_54.wav
ord113-19	там Николаевна% и Аркадьевна% / кто был ? //	888.645	891.615	questions_wav/ord113-19_question_55.wav
ord113-19	а ? //	893.36	905.735	questions_wav/ord113-19_question_56.wav
ord113-19	так с татой% кто там был ? / воспитателей как звали ? //	899.8	903.145	questions_wav/ord113-19_question_57.wav
ord113-19	ты что мне дашь / а я ? / *П соль //	908.8	911.625	questions_wav/ord113-19_question_58.wav
ord113-19	зачем мне насолила мне *Н ? //	913.205	915.32	questions_wav/ord113-19_question_59.wav
ord113-19	потом перчик покушаем ? //	927.52	929.605	questions_wav/ord113-19_question_60.wav
ord113-19	нашла ? / молодец //	939.815	941.22	questions_wav/ord113-19_question_61.wav
ord113-19	кто мне () собирал / ты ? //	962.745	965.18	questions_wav/ord113-19_question_62.wav
ord113-19	а что ты *Н ? //	999.07	1000.995	questions_wav/ord113-19_question_63.wav
ord113-19	а папа знает об этом ? //	1010.545	1012.65	questions_wav/ord113-19_question_64.wav
ord113-19	что папа ? //	1014.83	1015.57	questions_wav/ord113-19_question_65.wav
ord113-19	вот этой под диван большой ? //	1016.125	1018.44	questions_wav/ord113-19_question_66.wav
ord113-19	а зечем () ты () новый () утюг () второй ? //	1044.36	1048.44	questions_wav/ord113-19_question_67.wav
ord113-19	это утюг вс... / *П ты убрала ? //	1049.585	1052.405	questions_wav/ord113-19_question_68.wav
ord113-19	так сильно ? //	1054.185	1055.635	questions_wav/ord113-19_question_69.wav
ord113-19	когда ты утюг стукнула ? //	1057.765	1059.47	questions_wav/ord113-19_question_70.wav
ord113-19	вкусный ? // # да //	1091.425	1092.89	questions_wav/ord113-19_question_71.wav
ord113-19	да ? / ну(:) (...) это хорошо //	1101.68	1104.985	questions_wav/ord113-19_question_72.wav
ord113-19	и ты ж ... // # и мясо еще нравится ? // # да //	1112.235	1114.925	questions_wav/ord113-19_question_73.wav
ord113-19	и  мне тоже нравится // # а ты включишь там ? //	1116.515	1120.175	questions_wav/ord113-19_question_74.wav
ord113-19	что ? // # телевизор //	1120.9	1122.43	questions_wav/ord113-19_question_75.wav
ord113-19	а что ты не включила мне мультики ? //	1137.75	1140.81	questions_wav/ord113-19_question_76.wav
ord113-19	чего ты не включила мне мультики ? / я вот этот не хочу //	1142.36	1146.62	questions_wav/ord113-19_question_77.wav
ordS01-02	так / а теперь куда ?	36.310	37.230	questions_wav/ordS01-02_question_78.wav
ordS01-02	а зажигалку дала ?	37.230	38.229	questions_wav/ordS01-02_question_79.wav
ordS01-02	а теперь куда / ты видишь ?	39.850	41.330	questions_wav/ordS01-02_question_80.wav
ordS01-02	а как нам перейти ?	45.530	46.490	questions_wav/ordS01-02_question_81.wav
ordS01-02	а здесь нет дороги да /  или есть ?	53.301	55.137	questions_wav/ordS01-02_question_82.wav
ordS01-02	так / всё-таки не туда ? или туда ?	76.74	79.27	questions_wav/ordS01-02_question_83.wav
ordS01-02	я говорю /  а где Пряжка ?	119.78	121.05	questions_wav/ordS01-02_question_84.wav
ordS01-02	о чём она вообще была ?	171.54	172.76	questions_wav/ordS01-02_question_85.wav
ordS01-02	но она (...) как бы завершает Коломну / почему ? Мариинка в Коломне находится же //	182.63	186.74	questions_wav/ordS01-02_question_86.wav
ordS01-02	чем она впечатления оставила ?	194.8	196.21	questions_wav/ordS01-02_question_87.wav
ordS01-02	экскурсию ?	198.6	199.13	questions_wav/ordS01-02_question_88.wav
ordS01-02	не сюда  конечно / нам надо... / он же треугольный / а мы его можем обойти просто # а мы его с той стороны // *П не с той стороны / да ?	241.67	246.156	questions_wav/ordS01-02_question_89.wav
ordS01-02	где Мойка ?  #  как проще вернуться ?	247.373	248.47	questions_wav/ordS01-02_question_90.wav
ordS01-02	туда или с этой стороны ?	248.78	250.43	questions_wav/ordS01-02_question_91.wav
ordS01-02	но я не хочу с... (...) именно вот  (...) *П чего там по улицам как ты ?	254.1	257.77	questions_wav/ordS01-02_question_92.wav
ordS01-02	так / а здесь мы / как будем ?	266.794	268.63	questions_wav/ordS01-02_question_93.wav
ordS01-02	так / а вообще куда мы выйдем / если пойдём вот так ?	273.701	275.64	questions_wav/ordS01-02_question_94.wav
ordS01-02	почему панели такие узкие / а ?	315.03	316.967	questions_wav/ordS01-02_question_95.wav
ordS01-02	в кринолинах ?	321.77	322.933	questions_wav/ordS01-02_question_96.wav
ordS01-02	что ссыпают ?	351.39	352.07	questions_wav/ordS01-02_question_97.wav
ordS01-02	а что это ?	353.09000000000003	353.88	questions_wav/ordS01-02_question_98.wav
ordS01-02	а для чего он используется ?	392.34000000000003	393.59000000000003	questions_wav/ordS01-02_question_99.wav
ordS01-02	газовая атака / знаешь что такое ?  # а то есть газовая... ! да-да-да !	406.401	408.2	questions_wav/ordS01-02_question_100.wav
ordS01-02	какое токсическое *Н ?	454.86	456.05	questions_wav/ordS01-02_question_101.wav
ordS01-02	которые в Сибири отшельники  / знаешь / да ? # угу //	463.87	465.95	questions_wav/ordS01-02_question_102.wav
ordS01-02	тебе дать пива сейчас ? я просто хочу дождаться...  *Н //	503.34	506.33	questions_wav/ordS01-02_question_103.wav
ordS01-02	остановки ?	506.45	507.3	questions_wav/ordS01-02_question_104.wav
ordS01-02	хочешь ?	511.72	512.1	questions_wav/ordS01-02_question_105.wav
ordS01-02	нет / сейчас я... / а *П куда мы вообще ?	512.71	514.81	questions_wav/ordS01-02_question_106.wav
ordS01-02	где я ? *П  куда я попала ?	519.22	520.95	questions_wav/ordS01-02_question_107.wav
ordS01-02	где мы ? кто мы ?	521.08	522.17	questions_wav/ordS01-02_question_108.wav
ordS01-02	куда я попала ? где мои вещи ?	522.17	523.75	questions_wav/ordS01-02_question_109.wav
ordS01-02	подожди / это не здесь было ?	528.81	530.61	questions_wav/ordS01-02_question_110.wav
ordS01-02	это не снесли их случайно ?	531.82	533.37	questions_wav/ordS01-02_question_111.wav
ordS01-02	художественные мощности снести / ты что ? # а не-не-не / нам нужно завернуть направо / у меня уже... //	536.0409999999999	539.28	questions_wav/ordS01-02_question_112.wav
ordS01-02	да нет мы здесь уже и так близко / да ?	543.31	545.07	questions_wav/ordS01-02_question_113.wav
ordS01-02	а может и вымерло / откуда ты знаешь ?	625.62	627.27	questions_wav/ordS01-02_question_114.wav
ordS01-02	на это спокойствие / без суеты @ а из всего мира ?	643.988	646.72	questions_wav/ordS01-02_question_115.wav
ordS01-02	нет / остался один (э-э) мужчина и одна (:)  женщина на...  @  да ?	660.42	664.4	questions_wav/ordS01-02_question_116.wav
ordS01-02	что / настолько не понравилась / перспективка ? # да что-то она по-моему сделала...//	685.4	689.26	questions_wav/ordS01-02_question_117.wav
ordS01-02	"а ""День прикидов"" / ты читала ? #  не-а //"	698.45	700.451	questions_wav/ordS01-02_question_118.wav
ordS01-02	*Н / взяли власть над миром ? #  не / я не помню //	729.71	731.027	questions_wav/ordS01-02_question_119.wav
ordS01-02	а при чём здесь ужас ? *Н //	731.147	732.41	questions_wav/ordS01-02_question_120.wav
ordS01-02	не слышали ? слепые / короче с ними могли бороться / от рождения слепые //	736.73	741.1	questions_wav/ordS01-02_question_121.wav
ordS01-02	"помнишь (м-м) / был такой мультик ""Властелин времени"" ?"	750.895	753.775	questions_wav/ordS01-02_question_122.wav
ordS01-02	ты не видел такой в детстве ? #  *Н	754.255	756.01	questions_wav/ordS01-02_question_123.wav
ordS01-02	мультик какой-то не наш ?	756.881	758.313	questions_wav/ordS01-02_question_124.wav
ordS01-02	"там что-то (...) про то (...) там что-то про то что как бы @ ""Сказка о потерянном времени"" ?"	777.03	781.091	questions_wav/ordS01-02_question_125.wav
ordS01-02	может *П достопить ?	788.96	790.19	questions_wav/ordS01-02_question_126.wav
ordS01-02	да ?	792.12	1077.81	questions_wav/ordS01-02_question_127.wav
ordS01-02	мне это сразу по ассоциации напомнило знаешь чего ? другое //	810.97	814.28	questions_wav/ordS01-02_question_128.wav
ordS01-02	он (...)  как бы русский был / но какой-то  / но не русский / но какой-то в общем среднеазиатский что ли @ да ? *П ну это уже... //	836.8	842.82	questions_wav/ordS01-02_question_129.wav
ordS01-02	а ты говорил / в Лондон в Лондон / там круче / в Питере уже всё знакомо / да ?	883.865	888.17	questions_wav/ordS01-02_question_130.wav
ordS01-02	паркет тут / что ли ?	904.08	905.04	questions_wav/ordS01-02_question_131.wav
ordS01-02	она...  #  ...из брёвен ?	906.98	907.73	questions_wav/ordS01-02_question_132.wav
ordS01-02	чтобы их сушить ?	918.17	919.1	questions_wav/ordS01-02_question_133.wav
ordS01-02	а что направлять / брёвна ?  а для чего на кораблях брёвна ? @  можно... // можно здесь остановиться / например  //	923.251	927.504	questions_wav/ordS01-02_question_134.wav
ordS01-02	сплавляли (...) наверно (...) да () да-да-да  #  по воде плывёшь куда угодно / да ?	1034.267	1036.33	questions_wav/ordS01-02_question_135.wav
ordS01-02	что ?	1075.82	1076.06	questions_wav/ordS01-02_question_136.wav
ordS01-02	или... или  какой-то немецкий ? ну я не знаю / Бранденбургские ворота / что-то такое //	1086.641	1091.05	questions_wav/ordS01-02_question_137.wav
ordS01-02	так как один наш... да нет Бранденбургские ворота они более цивильно выглядят / ты что ? @ ты знаешь что ?	1091.05	1095.73	questions_wav/ordS01-02_question_138.wav
ordS01-02	арочка ?	1117.38	1118.14	questions_wav/ordS01-02_question_139.wav
ordS01-02	они не жили там / или жили ?	1125.21	1126.61	questions_wav/ordS01-02_question_140.wav
ordS01-02	зачем не в Тбилиси строил ?  #  ну это-то ладно //	1138.496	1140.496	questions_wav/ordS01-02_question_141.wav
ordS01-02	почему Тбилиси ?	1142.04	1143.87	questions_wav/ordS01-02_question_142.wav
ordS01-02	Пётр Первый (...) великий человек / но зачем нам Петербург не в Тбилиси строил ?	1146.75	1151.09	questions_wav/ordS01-02_question_143.wav
ordS01-02	*Н нормально / да ? он закрыт ещё //	1171.32	1174.2	questions_wav/ordS01-02_question_144.wav
ordS01-02	где он ?	1183.33	1184.05	questions_wav/ordS01-02_question_145.wav
ordS01-02	ну в принципе трудно поспорить / потому что...  # откуда она ?	1228.14	1230.69	questions_wav/ordS01-02_question_146.wav
ordS01-02	нет Чуковский / это бред / это галлюцинации # а у вас как... ?	1255.333	1258.34	questions_wav/ordS01-02_question_147.wav
ordS01-02	знаешь / каким бы я себя занятиям посвятил короче ?	1304.015	1307.15	questions_wav/ordS01-02_question_148.wav
ordS01-02	и дохлая / *П чего ж делать то блин  ? *П отрезал он вторую голову и пришил новую //	1398.22	1403.18	questions_wav/ordS01-02_question_149.wav
ordS01-02	ты не слышал (...)фольклорные песни в исполнении Гросса ?	1448.812	1451.95	questions_wav/ordS01-02_question_150.wav
ordS01-02	фольклорные (...)  русские ? # ну такие... / они дунайские скорее //	1456.744	1460.74	questions_wav/ordS01-02_question_151.wav
ordS01-02	шахтёрско-дунайские / как тут вообще ?	1472.63	1475.84	questions_wav/ordS01-02_question_152.wav
ordS01-02	откуда они взялись то ?	1492.6	1493.55	questions_wav/ordS01-02_question_153.wav
ordS01-02	ну откуда... ?	1494.882	1495.55	questions_wav/ordS01-02_question_154.wav
ordS01-02	никакие не дунайские / чего там дунайского ?	1495.55	1496.78	questions_wav/ordS01-02_question_155.wav
ordS01-02	ну здравств... / @ для ЮНЕСКО составляла базу @ чего ?	1519.79	1522.47	questions_wav/ordS01-02_question_156.wav
ordS01-02	чего там со скучного то умереть ? а... / а грибки ?	1523.03	1526.27	questions_wav/ordS01-02_question_157.wav
ordS01-02	грибки... # а капустка квашеная ?	1526.67	1528.36	questions_wav/ordS01-02_question_158.wav
ordS01-02	ну да... #  а самогон деревенский ?	1528.36	1529.86	questions_wav/ordS01-02_question_159.wav
ordS01-02	серьёзно ?	1531.3	1531.66	questions_wav/ordS01-02_question_160.wav
ordS01-02	*В он...  #  под дурачка косил ?	1545.23	1546.25	questions_wav/ordS01-02_question_161.wav
ordS01-02	маргарин ? я не зн...  #  обезьянье сало по-немецки  //	1602.201	1604.72	questions_wav/ordS01-02_question_162.wav
ordS01-02	ну (...) как (...) жир любой *П как  (...) по-немецки ?	1618.49	1621.58	questions_wav/ordS01-02_question_163.wav
ordS01-02	как ты переводишь ?  #  лень / я не могу короче (...) / это самое //	1660.26	1663.15	questions_wav/ordS01-02_question_164.wav
ordS01-02	там уже вс...   #  да нету / я всё прочитал / да (...) ну что ж я / дурной что ли ?	1683.53	1686.65	questions_wav/ordS01-02_question_165.wav
ordS01-02	зачем он нужен дома / если на работе он целый день стоит / правильно ?	1746.93	1751.15	questions_wav/ordS01-02_question_166.wav
ordS01-02	фольклор / *П *В думаешь я его придумал ? *П я его услышал от ... //	1793.09	1797.67	questions_wav/ordS01-02_question_167.wav
ordS01-02	у меня папа был электросварщиком  @  *Н понравилась ?	1807.49	1809.33	questions_wav/ordS01-02_question_168.wav
ordS01-02	куда же мы двинем дальше ? вот она / Новая Голландия !	1820.054	1823.14	questions_wav/ordS01-02_question_169.wav
ordS01-02	там ?	1847.21	1847.61	questions_wav/ordS01-02_question_170.wav
ordS01-02	а это всё ещё какие-то туристские катерочки тут курсируют / или ...  ?	1885.491	1888.771	questions_wav/ordS01-02_question_171.wav
ordS01-02	эй / вы кто ?	1894.83	1895.68	questions_wav/ordS01-02_question_172.wav
ordS01-02	про себя ?	1951.03	1951.76	questions_wav/ordS01-02_question_173.wav
ordS01-02	нормально # таких фольклорных стишков  / можно ?	2026.55	2028.91	questions_wav/ordS01-02_question_174.wav
ordS01-03	м ?	16.300	16.988	questions_wav/ordS01-03_question_175.wav
ordS01-03	Мишка только бегает ?	16.990	18.171	questions_wav/ordS01-03_question_176.wav
ordS01-03	я только в Крыму / хорошо видела звёзды // *П мне всё равно не отличить (...) Полярную звезду / *П от какого-нибудь Сириуса // я не понимаю совершенно *Н # нет / но он просто яркий // красивый // как на южном  *Н ну просто / *П относительно других как они расположены  я уже не вижу // *П вот / а на южном време... ой на... на южном небе / Млечный путь очень хорошо просматривается // *П мы когда жили / *П на биостанции / *П там можно было / ну там дорога... #  какой станции ?	111.827	138.96	questions_wav/ordS01-03_question_177.wav
ordS01-03	название такое / да ? # ну оно так и называется / *П посёлок Биостанция //  *П у нас дом стоял на горе // *П и каждый вечер / я  возвращалась в гору / минут пятнадцать // *П а () как бы все огни посёлка оставались внизу / и нужно было # ты идешь в гору / и соответственно смотришь в небо / да ? @ в кромешной тьме //	160.216	175.53	questions_wav/ordS01-03_question_178.wav
ordS01-03	а ты был в Крыму ?	221.65800000000002	222.469	questions_wav/ordS01-03_question_179.wav
ordS01-03	где ?	235.107	235.30700000000002	questions_wav/ordS01-03_question_180.wav
ordS01-03	а у тебя *Н ?	252.256	253.239	questions_wav/ordS01-03_question_181.wav
ordS01-03	а полярная звезда ?	327.553	328.61	questions_wav/ordS01-03_question_182.wav
ordS01-03	а здесь #  как она называется  по-нормальному ?	331.939	333.805	questions_wav/ordS01-03_question_183.wav
ordS01-03	ну просто вот как всё это подавалось // то есть сам подход к жизни // само настроение // то есть ну жертвоприношение то  это у них там вообще в порядке вещей был //  *П то есть вопрос причины откуда # как они эти пирамиды / сколько они их строили / там несколько поколений положим // да ?	390.932	404.68	questions_wav/ordS01-03_question_184.wav
ordS01-03	чего творят ? # чего творят ? *С	417.485	420.137	questions_wav/ordS01-03_question_185.wav
ordS01-03	чего творится ? *С	420.137	421.086	questions_wav/ordS01-03_question_186.wav
ordS01-03	как там / чего там было про грибы ? *П какие фаллосы ?	424.73	428.37	questions_wav/ordS01-03_question_187.wav
ordS01-03	индейская сказка была / я помню / меня впечатлила / что (...) (э-э) раньше (...) мужчины не обладали фаллосом // а он (...) как бы находился в земле // то есть если женщине что-то нужно / она подходит  к нужному там () месту / *П стучит ногой по земле / *H вылезает  *С / и всё в порядке // а потом там что-то случилось @ (э-э) а как же мужчины ? @ и его разделили на части // *П а вот я не знаю / то есть у них видишь / *П у них в каждой () фишке у них недосмотр # *Н ни потребности ни как бы... /	432.776	463.67	questions_wav/ordS01-03_question_188.wav
ordS01-03	"какой у них эпос ! // герои такие / вообще // Арджуна / Кришна // *С ты не читал ""Махабхарату"" ?"	511.957	519.96	questions_wav/ordS01-03_question_189.wav
ordS01-03	нда ?	723.72	723.956	questions_wav/ordS01-03_question_190.wav
ordS01-03	геи ?	741.69	742.344	questions_wav/ordS01-03_question_191.wav
ordS01-03	куда / в лес что ли ? # ну я не знаю куда // *В он по-моему то ли переезжал / то ли в лес поехал //	760.208	765.213	questions_wav/ordS01-03_question_192.wav
ordS01-03	*Н / чего они там спят ?	799.705	801.594	questions_wav/ordS01-03_question_193.wav
ordS01-03	ещё где-то ?	824.57	825.588	questions_wav/ordS01-03_question_194.wav
ordS01-03	о / на этих полдвенадцатого что ли ?	873.756	875.784	questions_wav/ordS01-03_question_195.wav
ordS01-03	ты куда-то спешишь ?	878.118	879.327	questions_wav/ordS01-03_question_196.wav
ordS01-04	*Н ?	00.010	01.040	questions_wav/ordS01-04_question_197.wav
ordS01-04	я ж тебя спрашиваю / на обед что нам ? капуста тушёная / с капустой ?	02.121	05.430	questions_wav/ordS01-04_question_198.wav
ordS01-04	как дела ?	27.687	28.380	questions_wav/ordS01-04_question_199.wav
ordS01-04	да ничего // какие дела ? *П никаких дел не имею //	29.470	32.840	questions_wav/ordS01-04_question_200.wav
ordS01-04	слушай / а когда ты идёшь (...) в Фёдоровский центр ?	35.348	38.090	questions_wav/ordS01-04_question_201.wav
ordS01-04	девятого / это вторник // а когда ты кровь сдавать будешь ?	39.020	41.442	questions_wav/ordS01-04_question_202.wav
ordS01-04	в понедельник я кровь... / почему ? вечером анализ будет готов // вечером иду к терапевту // @ да ?	45.150	49.910	questions_wav/ordS01-04_question_203.wav
ordS01-04	угу // *П а (:) *П если вдруг не будет готов / то там () тебе нечего делать в Фёдоровском центре ?	52.820	58.410	questions_wav/ordS01-04_question_204.wav
ordS01-04	почему не будет готов ? если он вечером готов всегда ? анализы готовы вечером // @ угу //	61.81	65.6	questions_wav/ordS01-04_question_205.wav
ordS01-04	не кашляешь больше ?	90.94	92.28	questions_wav/ordS01-04_question_206.wav
ordS01-04	кашляешь ? утром / да ? @ угу //	93.3	94.74000000000001	questions_wav/ordS01-04_question_207.wav
ordS01-04	Ляка% / не ... не приходила что ли ? вообще ?	101.24000000000001	103.87	questions_wav/ordS01-04_question_208.wav
ordS01-04	куда ?	117.82	118.28999999999999	questions_wav/ordS01-04_question_209.wav
ordS01-04	а у нас нет цемента дома ?	125.64	127.15	questions_wav/ordS01-04_question_210.wav
ordS01-04	а заделывать нужно только () одну дырку / в центре ?	132.13	135.07	questions_wav/ordS01-04_question_211.wav
ordS01-04	сбоку ?	137.05	137.62	questions_wav/ordS01-04_question_212.wav
ordS01-04	а () / с... сделали уже ? и вставили этот кронштейн ?	139.66	142.49	questions_wav/ordS01-04_question_213.wav
ordS01-04	а почему у нас так быстро цемент раскрошился ? *П Иван же (...) / когда делал ?	187.91	192.74	questions_wav/ordS01-04_question_214.wav
ordS01-04	ну потому что () видишь / его нужно / *В (...) поливать водой // чтобы он не сразу высох // # он знает / что Иван не знает / ну ? всё время ... # да ? *П всё время смазывать / чтобы сыро было //	193.09	200.724	questions_wav/ordS01-04_question_215.wav
ordS01-04	вообще / *П дали ? *П нет ? а / вчера прогревали батареи //	207.678	210.97	questions_wav/ordS01-04_question_216.wav
ordS01-04	а чего / они вчера грелись ? или просто журчали ?	239.47	242.05	questions_wav/ordS01-04_question_217.wav
ordS01-06	так // снимки свежие есть ? это свежие ? @ *Н	27.860	29.718	questions_wav/ordS01-06_question_218.wav
ordS01-06	свежие ?	29.718	30.333	questions_wav/ordS01-06_question_219.wav
ordS01-06	а...а / но все равно резать надо / все равно рэзать надо #  что что ? ... надо надо надо понимаете тут очаг хронической инфекции //	383.413	391.361	questions_wav/ordS01-06_question_220.wav
ordS01-06	но этот сеанс(?) же на один день да / то есть ?	504.407	506.422	questions_wav/ordS01-06_question_221.wav
ordS100-03	ну что ?	00.780	01.240	questions_wav/ordS100-03_question_222.wav
ordS100-03	вообще никак ?	10.639	11.384	questions_wav/ordS100-03_question_223.wav
ordS100-03	она так ещё спросила / пиво хотите брать ? я говорю / пиво в любом случае брать !	38.564	42.551	questions_wav/ordS100-03_question_224.wav
ordS100-03	там(:) () пирогов не(:) ... (э-э) ну / с капустой я взял ... # я *Н(булочку) возьму(?) ? # два / там ещё один остался //	79.765	85.364	questions_wav/ordS100-03_question_225.wav
ordS100-03	Серёж% / тебе на выходные с... купить ?	100.538	102.144	questions_wav/ordS100-03_question_226.wav
ordS100-03	слышал же ?	120.288	120.971	questions_wav/ordS100-03_question_227.wav
ordS100-03	танцевать с Мэри-Джейн ?	166.762	168.004	questions_wav/ordS100-03_question_228.wav
ordS100-03	что за группа ?	195.865	198.164	questions_wav/ordS100-03_question_229.wav
ordS100-03	чего ?	197.131	197.392	questions_wav/ordS100-03_question_230.wav
ordS100-03	м ?	217.52100000000002	217.738	questions_wav/ordS100-03_question_231.wav
ordS100-03	знаешь / где это ?	305.303	306.037	questions_wav/ordS100-03_question_232.wav
ordS100-03	М(:)ытнинская ?	312.10699999999997	313.069	questions_wav/ordS100-03_question_233.wav
ordS100-03	а что там ?	316.08299999999997	316.543	questions_wav/ordS100-03_question_234.wav
ordS100-03	какой ?	368.915	369.407	questions_wav/ordS100-03_question_235.wav
ordS100-03	как *Н может надоесть ? # (м) / пиздец / вес / шесть восемьсот //	416.54200000000003	419.728	questions_wav/ordS100-03_question_236.wav
ordS100-03	блин / э(:)то где ? а / Брянск //	455.999	457.595	questions_wav/ordS100-03_question_237.wav
ordS100-03	что / может рубанёмся ?	496.869	497.898	questions_wav/ordS100-03_question_238.wav
ordS100-03	(м-м) да ?	549.857	550.262	questions_wav/ordS100-03_question_239.wav
ordS104-33	ну это я же ?	12.894	13.682	questions_wav/ordS104-33_question_240.wav
ordS104-33	эту удалить ?	18.841	19.439	questions_wav/ordS104-33_question_241.wav
ordS104-33	что ты там / под *Н / *Н до этого ?	24.247	25.962	questions_wav/ordS104-33_question_242.wav
ordS104-33	она встала ? обалдеть //	41.049	41.898	questions_wav/ordS104-33_question_243.wav
ordS104-33	обалдеть ?	46.032	46.613	questions_wav/ordS104-33_question_244.wav
ordS104-33	китайцы / между всех вот этих ? # да / этой китайцы попросили сфоткать их //	66.01	68.988	questions_wav/ordS104-33_question_245.wav
